gid_0,name_0,year,scenario,indicator_name,weight,score,score_ranked,cat,label,un_region,wb_region
BGR,Bulgaria,2050,opt,bws,Tot,1.47886808952386,104,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SWZ,Swaziland,2080,pes,bws,Irr,1.47877528945172,116,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
CUB,Cuba,2080,opt,bws,Liv,1.47797134977915,96,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
TCD,Chad,2080,opt,bws,Irr,1.47730810257154,107,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
POL,Poland,2050,pes,bws,One,1.47686213487582,92,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2050,pes,bws,Dom,1.47685625857361,106,1,Low - Medium (10-20%),Europe,Europe & Central Asia
KEN,Kenya,2050,bau,bws,Dom,1.47606926233047,99,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
BLR,Belarus,2030,opt,bws,Ind,1.47479782345622,96,1,Low - Medium (10-20%),Europe,Europe & Central Asia
UKR,Ukraine,2030,opt,bws,Ind,1.47473994001593,97,1,Low - Medium (10-20%),Europe,Europe & Central Asia
BLR,Belarus,2080,opt,bws,Tot,1.47472709055481,111,1,Low - Medium (10-20%),Europe,Europe & Central Asia
NGA,Nigeria,2030,opt,bws,Irr,1.47386446336754,106,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
CAN,Canada,2050,opt,bws,Dom,1.47346958849322,103,1,Low - Medium (10-20%),Americas,North America
UKR,Ukraine,2030,pes,bws,Dom,1.47221049207735,103,1,Low - Medium (10-20%),Europe,Europe & Central Asia
SVK,Slovakia,2050,opt,bws,One,1.47148522515868,89,1,Low - Medium (10-20%),Europe,Europe & Central Asia
TZA,Tanzania,2050,bau,bws,Dom,1.47126390510374,100,1,Low - Medium (10-20%),Africa,Sub-Saharan Africa
SUR,Suriname,2030,opt,bws,Tot,1.47075788435659,99,1,Low - Medium (10-20%),Americas,Latin America & Caribbean
